ORDID;ITEMID;PRODID;ACTUALPRICE;QTY;ITEMTOT
610;3;100890;58;1;58
611;1;100861;45;1;45
612;1;100860;30;100;3000
601;1;200376;2.4;1;2.4
602;1;100870;2.8;20;56
604;1;100890;58;3;174
604;2;100861;42;2;84
604;3;100860;44;10;440
603;2;100860;56;4;224
610;1;100860;35;1;35
610;2;100870;2.8;3;8.4
613;4;200376;2.2;200;440
614;1;100860;35;444;15540
614;2;100870;2.8;1000;2800
612;2;100861;40.5;20;810
612;3;101863;10;150;1500
620;1;100860;35;10;350
620;2;200376;2.4;1000;2400
620;3;102130;3.4;500;1700
613;1;100871;5.6;100;560
613;2;101860;24;200;4800
613;3;200380;40.5;150;600
619;3;102130;3.4;100;340
617;1;100860;35;50;1750
617;2;100861;45;100;4500
614;3;100871;5.6;1000;5600
