ORDID;ORDERDATE;C;CUSTOD;SHIPDATE;TOTAL
610;07/01/07;A;101;08/01/07;101.4
611;11/01/07;B;102;11/01/07;45
612;15/01/07;C;104;20/01/07;5860
601;01/05/06;A;106;30/05/06;2.4
602;05/06/06;B;102;20/06/06;56
604;15/06/06;A;106;30/06/06;698
605;14/07/06;A;106;30/07/06;8324
606;14/07/06;A;100;30/07/06;3.4
609;01/08/06;B;100;15/08/06;97.5
607;18/07/06;C;104;18/07/06;5.6
608;25/07/06;C;104;25/07/06;35.2
603;05/06/06;;102;05/06/06;224
620;12/03/07;;100;12/03/07;4450
613;01/02/07;;108;01/02/07;6400
614;01/02/07;;102;05/02/07;23940
616;03/02/07;;103;10/02/07;764
619;22/02/07;;104;04/02/07;1260
617;05/02/07;;105;03/03/07;46370
615;01/02/07;;107;06/02/07;710
618;15/02/07;A;102;06/02/07;3510.5
621;15/03/07;A;100;01/01/07;730
